"trackNumber","artistName","trackName","specialName","releaseDate","episodeNumber"
7,"Tune Of The Week: Coleman & Melvoin","Theme To Heroes (Filo & Peri Remix)","No Label","February 28, 2008",341
8,"Utah Saints","Lost Vagueness (M6?s Bootleg Mix)","No Label","February 28, 2008",341
9,"Steve Anderson","Neve (Original Mix)","DJSA Recordings","February 28, 2008",341
10,"Georgia","Ode To 99 (Original Mix)","Flashover Recordings","February 28, 2008",341
11,"Seth Hutton","Don’t Look Behind You (Mike Shiver’s Catching Sun Remix)","Captured Music","February 28, 2008",341
12,"Greg Downey","Stadium (Original Mix)","Vandit Records","February 28, 2008",341
13,"Andr Visior & Kay Stone","Something For Your Mind (Giuseppe Ottaviani Remix)","Breathe Music","February 28, 2008",341
14,"Cerf, Mitiska & Jaren","Let Me Breathe (Bissen Remix)","No Label","February 28, 2008",341
15,"Tom Colontonio","Omega (Original Mix)","Vandit Records","February 28, 2008",341
16,"Hensha","The Curtain (Underwater’s Blue Remix)","Conspiracy Recordings","February 28, 2008",341
17,"Ilya Soloviev","Sunwaves (Paul Miller Remix)","Timeline Music","February 28, 2008",341
18,"Stuart Millar","Galactica (Original Mix)","Proxoz Recordings","February 28, 2008",341
19,"Mike Foyle","Pandora (Original Mix)","Armada Music","February 28, 2008",341
20,"Ernesto & Bastian","Super Jupiter (Original Mix)","High Contrast Recordings","February 28, 2008",341
21,"ASOT Radio Classic: Rank 1 feat. Shanokee","Such Is Life (Original Mix)","ID&T","February 28, 2008",341
1,"Jose Amnesia vs. Melee","Follow To Last (Clark Kent’s Live Bootleg Mix)","No Label","March 06, 2008",342
2,"Electrobios & Interplay","With You (Original Mix)","Anjunadeep","March 06, 2008",342
3,"Pryda","Pjanoo (Original Mix)","Pryda","March 06, 2008",342
4,"Three Drives","Greece 2000 (Chris Reeves Remix)","Sirup","March 06, 2008",342
5,"A&N Project","Just When I Think There’s An Answer (Genix Remix)","Deep Blue Records","March 06, 2008",342
6,"DJ Orkidea vs. David West","God’s Garden (Original Mix)","AVA Recordings","March 06, 2008",342
7,"ATA","Blue Skies (Original Mix)","Infrasonic Recordings","March 06, 2008",342
8,"Future Favorite: Wendy Melvoin feat. Lisa Coleman","The Heroes Theme (Filo & Peri’s Bootleg Mix)","No Label","March 06, 2008",342
9,"David Newsum","From Dubai With Love (Original Mix)","Discover","March 06, 2008",342
10,"Mike Nichol","Lost For Words (Original Mix)","Armada Music","March 06, 2008",342
11,"Adrian Blue","Imagine (Mike Nichol Remix)","Infrasonic","March 06, 2008",342
12,"4 Strings","Take Me Away (Re","n/a","March 06, 2008",342
13,"Tune Of The Week: Topher Jones feat. Meredith Call","Benediction (Original Mix)","No Label","March 06, 2008",342
14,"Solarstone","Rain Stars Eternal (Agnelli & Nelson Remix)","Solaris","March 06, 2008",342
15,"Nitrous Oxide","Red Moon Slide (Original Mix)","Anjunabeats","March 06, 2008",342
16,"DJ Eco","Mouth Without A Voice (Original Mix)","Lunatique","March 06, 2008",342
17,"Ilya Soloviev","Sunwaves (Paul Miller Remix)","Timeline Music","March 06, 2008",342
18,"Ferrin & Low","Westworld (Original Mix)","Fenology Recordings","March 06, 2008",342
19,"Akesson","Perfect Blue (Original Mix)","Offshore","March 06, 2008",342
20,"Roy Gates","Come Alive (Original Mix)","White Villa Recordings","March 06, 2008",342
21,"Sander van Doorn","Pura Vida (Original Mix)","Doorn Recordings","March 06, 2008",342
22,"ASOT Radio Classic: Pulser","Cloudwalking (Astral Mix)","ATCR","March 06, 2008",342
1,"Armin van Buuren & DJ Shah feat. Chris Jones","Going Wrong (Armin van Buuren’s Universal Religion Remix)","Armind","March 13, 2008",343
2,"Jorn van Deynhoven","Godspeed (Joshua Cunningham’s Dub Mix)","Unleashed Recordings","March 13, 2008",343
3,"In Progress & Omnia","Air Flower (Original Mix)","Fraction Zero","March 13, 2008",343
4,"David West & Inkfish","Hello Piano (Original Mix)","DK Records","March 13, 2008",343
5,"Mohawk","Celestia (Original Mix)","Sedna Recordings","March 13, 2008",343
6,"Sebastian Ingrosso & Laidback Luke","Chaa Chaa (E.D.X. Remix)","Size Recordings","March 13, 2008",343
7,"Jay Lumen","Ultra (Original Mix)","Baroque Records","March 13, 2008",343
8,"Dariush & DJ Da feat. Tina","Good Vibration (DJ Remy & Roland Klinkenberg Remix)","Shinichi","March 13, 2008",343
9,"First State vs. Sia","Your Own Way (First State’s Pounding Clubmix) vs. The Girl You Lost To Cocaine (Sander van Doorn Remix)","Spinin' Records","March 13, 2008",343
10,"Sied van Riel & Geert Huinink","Minimal Symphony (Original Mix)","Spinnin' Records","March 13, 2008",343
11,"Veracocha","Carte Blanche (Cosmic Gate Remix)","Cloud 9 Dance","March 13, 2008",343
12,"4 Strings","Take Me Away (Re","n/a","March 13, 2008",343
13,"Stoneface & Terminal","Pictures (Club Mix)","Euphonic","March 13, 2008",343
14,"Future Favorite: Nitrous Oxide","Red Moon Slide (Original Mix)","Anjunabeats","March 13, 2008",343
15,"Neptune Project vs. Triple Seven","Arctic Moment (Activa Remix)","Breathemusic Digital","March 13, 2008",343
16,"Tune Of The Week: Erik de Koning","Dream Flight (Mike Nichol Remix)","ASOT","March 13, 2008",343
17,"Majai","Phoria (Jorn van Deynhoven’s Dub Mix)","Tetsuo","March 13, 2008",343
18,"Randy Boyer & Eric Tadla feat. Dan Sanfilippo","Alive (Heatbeat Remix)","Flashover Recordings","March 13, 2008",343
19,"Simon Patterson","Smack (Original Mix)","Reset Records","March 13, 2008",343
20,"Paul Miller","Galaxy (Original Mix)","Offshore","March 13, 2008",343
21,"David Newsum","From Dubai With Love (Original Mix)","Discover","March 13, 2008",343
22,"ASOT Radio Classic: Way Out West","Mindcircus (Gabriel & Dresden’s Radio Edit)","Distinct'ive Breaks","March 13, 2008",343
1,"Cerf, Mitiska & Jaren","You Never Said (Dash Berlin Remix)","Soundpiercing","March 20, 2008",344
2,"Jerry Ropero feat. Cozi","The Storm (Inpetto’s Dub Mix)","Positiva","March 20, 2008",344
3,"Dinka","The Sin (Chris Reece’s Tribal Sucker Remix)","Unreleased Digital","March 20, 2008",344
4,"Radiohead","House Of Cards (Solarstone’s Subterranean Mix)","No Label","March 20, 2008",344
5,"E.D.X.","Premiumline (Original Mix)","Supra","March 20, 2008",344
6,"Future Favorite: Armin van Buuren & DJ Shah feat. Chris Jones","Going Wrong (Armin van Buuren’s Universal Religion Remix)","Armind","March 20, 2008",344
7,"OceanLab","Sirens Of The Sea (Above & Beyond’s Club Mix)","Anjunabeats","March 20, 2008",344
8,"Embrace","Embrace (Ferry Corsten Fix)","Flashover Recordings","March 20, 2008",344
9,"Underwater","Sleeping Under The Stars (Original Mix)","Shah Music","March 20, 2008",344
10,"Alex M.O.R.P.H.","Walk The Edge (Original Mix)","High Contrast Recordings","March 20, 2008",344
11,"Akesson","Sunchaser (Original Mix)","Fraction Recordings","March 20, 2008",344
12,"Veracocha","Carte Blanche (Cosmic Gate Remix)","Cloud 9 Dance","March 20, 2008",344
13,"Tune Of The Week: Alex M.O.R.P.H & Woody van Eyden feat. Michelle Citrin","Turn It On (Original Mix)","Vandit Records","March 20, 2008",344
14,"The Gift","Blue Lights (Original Mix)","High Contrast Recordings","March 20, 2008",344
15,"D.N.S. Project pres. Whiteglow","Airbourne (Original Mix)","Monster Tunes","March 20, 2008",344
16,"Stoneface & Terminal","Storm (Club Mix)","Euphonic","March 20, 2008",344
17,"Simon Patterson","Smack (Original Mix)","Reset Records","March 20, 2008",344
18,"DJ Tommyboy","The Insider (Ben Gold Remix)","Infrasonic","March 20, 2008",344
19,"Schiller","Das Glockenspiel (Filo & Peri’s Tech Workout)","No Label","March 20, 2008",344
20,"ASOT Radio Classic: Sarah McLachlan","Fallen (Gabriel & Dresden Remix)","BMG","March 20, 2008",344
1,"Parker & Hanson","Aim High Shoot Low (Original Mix)","Maelstrom Records","March 27, 2008",345
2,"Nadia Ali","Crash And Burn (DJ Shah’s Magic Island Remix)","Smile In Bed","March 27, 2008",345
3,"Type","Nostalgia (Original Mix)","No Label","March 27, 2008",345
4,"Armin van Buuren vs. Lange","If You Should Go Songless (Victorias Secret’s Mash","n/a","March 27, 2008",345
5,"Orjan Nilsen","La Guitarra (Original Mix)","Armada Music","March 27, 2008",345
6,"Cerf, Mitiska & Jaren","You Never Said (Dash Berlin Remix)","Soundpiercing","March 27, 2008",345
7,"Eddie Sender","Genesis (Robert Gitelman & Michael Tsukerman Remix)","Inspired Records","March 27, 2008",345
8,"Future Favorite: OceanLab","Sirens Of The Sea (Above & Beyond’s Club Mix)","Anjunabeats","March 27, 2008",345
9,"C","Base","n/a","March 27, 2008",345
10,"Tune Of The Week: Fire & Ice","Tour De France (Manuel le Saux Remix)","Camouflage","March 27, 2008",345
11,"Andy Blueman","Time To Rest (Original Mix)","Perspective Recordings","March 27, 2008",345
12,"Impulsive Drive","Reload (Original Mix)","Resonate Records","March 27, 2008",345
13,"Erik de Koning","Dream Flight (Mike Nichol Remix)","ASOT","March 27, 2008",345
14,"Lange","Out Of The Sky (Aly & Fila Remix)","Maelstrom Records","March 27, 2008",345
15,"ATA","Blue Skies (Original Mix)","Infrasonic Recordings","March 27, 2008",345
16,"Claudia Cazacu","Elite (Sied van Riel)","Couture","March 27, 2008",345
17,"W&W","Countach (Original Mix)","Captivating Sounds","March 27, 2008",345
18,"Ernesto vs. Bastian","Super Jupiter (Original Mix)","High Contrast Recordings","March 27, 2008",345
19,"ASOT Radio Classic: Andain","Beautiful Things (Original Mix)","Blackhole Recordings","March 27, 2008",345
1,"Tune Of The Week: Nadia Ali","Crash And Burn (Sultan & Ned Shepard Remix)","Harem Recordings","April 03, 2008",346
2,"Kirsty Hawkshaw & Tenishia","Invincible (Original Mix)","Armind","April 03, 2008",346
3,"Jozef Mihalik","Listen (Redanka Remix)","No Label","April 03, 2008",346
4,"Mat Zo","Rush (Original Mix)","Anjunabeats","April 03, 2008",346
5,"Sean Marx","Reflect (Original Mix)","Deep Impact Music","April 03, 2008",346
6,"Armin van Buuren & DJ Shah feat. Chris Jones","Going Wrong (DJ Shah’s Magic Island Remix)","Armind","April 03, 2008",346
7,"Topher Jones feat. Meredith Call","Benediction (Original Mix)","No Label","April 03, 2008",346
8,"Ronski Speed feat. Aruna","AllThe Way (Original Mix)","Euphonic","April 03, 2008",346
9,"Nic Chagall","What You Need (Marco V. Remix)","High Contrast Recordings","April 03, 2008",346
10,"Blank & Jones feat. Bernard Sumner","Miracle Cure (Martin Roth’s Nu Style Remix)","Maelstrom Records","April 03, 2008",346
11,"Majai","Phoria (Airbase Remix)","Tetsuo","April 03, 2008",346
12,"Beat Service pres. Sunstroke","Sky Cafe (D.N.S. Project Remix)","Camouflage","April 03, 2008",346
13,"Alex M.O.R.P.H. & Woody van Eyden feat. Michelle Citrin","Turn It On (Original Mix)","Vandit Records","April 03, 2008",346
14,"Ethereal","Ethereal (Original Mix)","No Label","April 03, 2008",346
15,"Cerf, Mitiska & Jaren","Let Me Breathe (Ronski Speed Remix)","No Label","April 03, 2008",346
16,"Future Favorite: Andy Blueman","Time To Rest (Original Mix)","Perspective Recordings","April 03, 2008",346
17,"Re:Locate feat. Menno de Jong","Spirit (Paul Miller’s 2008 Rework)","Intuition Recordings","April 03, 2008",346
18,"Markus Schulz feat. Andy Moor","Daydream (Lemon & Einar K.’s Uplifting Remix)","Armada Digital","April 03, 2008",346
19,"Fire & Ice","Tour De Trance (Manuel le Saux Remix)","Banshee","April 03, 2008",346
20,"ASOT Radio Classic: Andy Ling","Fixation (Airwave Remix)","Tranceportation","April 03, 2008",346
1,"Kaskade","4AM (Adam K. & Soha Mix)","Rise","April 10, 2008",347
2,"Mind","X","n/a","April 10, 2008",347
3,"Future Favorite: Nadia Ali","Crash And Burn (Sultan & Ned Shepard Remix)","Harem Recordings","April 10, 2008",347
4,"Ohmna","Satori (Original Mix)","Cyber Records","April 10, 2008",347
5,"OceanLab","Sirens Of The Sea (Cosmic Gate’s Vocal Mix)","Anjunabeats","April 10, 2008",347
6,"Markus Schulz","Daydream (Lemon & Einar K. Remix)","Coldharbour Recordings","April 10, 2008",347
7,"Majai","Phoria (Elevation Remix)","Tetsuo","April 10, 2008",347
8,"Tune Of The Week: Alex M.O.R.P.H.","Walk The Edge (Alex M.O.R.P.H. b2b with Woody van Eyden Remix)","High Contrast Recordings","April 10, 2008",347
9,"Marc Marberg with Kyau & Albert","Neo Love (Original Mix)","Euphonic","April 10, 2008",347
10,"Breakfast pres. Loomer","Take Me Back (Original Mix)","Moody Moon Recordings","April 10, 2008",347
11,"Robert Nickson feat. Elsa Hill","Never Again (Nitrous Oxide Remix)","ASOT","April 10, 2008",347
12,"Andy Bluemann","Time To Rest (Daniel Kandi’s Banging Mix)","Perceptive Recordings","April 10, 2008",347
13,"Orjan Nilsen","La Guitarra (Orjan Nilsen’s Balaeric Mix)","Armind","April 10, 2008",347
14,"Dreas","Aero (Original Mix)","Discover","April 10, 2008",347
15,"Simon Patterson","Whatever It Takes (Original Mix)","Spinnin' Records","April 10, 2008",347
16,"Nic Chagall","What You Need (Marco V. Remix)","High Contrast Recordings","April 10, 2008",347
17,"Toltel","Afterglow (R.E.N.O.I.S.E. Remix)","Abstraction Recordings","April 10, 2008",347
18,"W&W","Dome (Original Mix)","Armada Music","April 10, 2008",347
19,"Carl B.","Deliverance (Original Mix)","Blackhole Recordings","April 10, 2008",347
20,"ASOT Radio Classic: Nu NRG","Dreamland (Original Mix)","Vandit Records","April 10, 2008",347
1,"Ronski Speed","All The Way (Jonas Steur Remix)","Euphonic","April 17, 2008",348
2,"Cosmic Gate","A Day That Fades (Inpetto’s Dub Mix)","Maelstrom Records / Blackhole Recordings","April 17, 2008",348
3,"Ohmna","Balance (How Does It Feel)","Cyber","April 17, 2008",348
4,"Mungo","Under The Sea (Original Mix)","ASOT","April 17, 2008",348
5,"Mike Foyle","Pandora (The Blizzard Remix)","Armada Music","April 17, 2008",348
6,"Future Favorite: Alex M.O.R.P.H.","Walk The Edge (Original Mix)","High Contrast Recordings","April 17, 2008",348
7,"Markus Schulz","Daydream (Lemon & Einar K. Remix)","Coldharbour Recordings","April 17, 2008",348
8,"Tune Of The Week: Heatbeat","Geek Love (Peter Martijn Wijnia Remix)","Soundpiercing","April 17, 2008",348
9,"Robert Nickson feat. Elsa Hill","Never Again (Nitrous Oxide Remix)","ASOT","April 17, 2008",348
10,"Armin van Buuren","Imagine (Original Mix)","Armada Music","April 17, 2008",348
11,"Armin van Buuren feat. Jaren","Unforgivable (Original Mix)","Armada Music","April 17, 2008",348
12,"Armin van Buuren feat. Jacqueline Govaerts","Never Say Never (Original Mix)","Armada Music","April 17, 2008",348
13,"Armin van Buuren feat. Audrey Gallagher","Hold On To Me (Original Mix)","Armada Music","April 17, 2008",348
14,"Armin van Buuren feat. Vera Ostrova","What If (Original Mix)","Armada Music","April 17, 2008",348
15,"Armin van Buuren with Gabriel & Dresden","Zocalo (Armin van Buuren In Mexico Mix)","Armada Music","April 17, 2008",348
16,"Armin van Buuren feat. Jennifer Rene","Fine Without You (Original Mix)","Armada Music","April 17, 2008",348
17,"Armin van Buuren","Face To Face (Original Mix)","Armada Music","April 17, 2008",348
18,"Armin van Buuren feat. Cathy Burton","Rain (Original Mix)","Armada Music","April 17, 2008",348
19,"Armin van Buuren & Sean Tyas","Intricacy (Original Mix)","Armada Music","April 17, 2008",348
20,"ASOT Radio Classic: Armin van Buuren feat. Ray Wilson","Yet Another Day (Rising Star Mix)","Armada Music","April 17, 2008",348
1,"Jay Lumen","Calypso (Original Mix)","Anjunadeep","April 24, 2008",349
2,"Future Favorite: Mike Foyle","Pandora (Original Mix)","Armada Music","April 24, 2008",349
3,"Cosmic Gate","A Day That Fades (Cosmic Gate’s AM2PM Mix)","Maelstrom Records","April 24, 2008",349
4,"Ohmna","Satori (Original Mix)","Cyber Records","April 24, 2008",349
5,"Tune Of The Week: DJ Shah feat. Adrina Thorpe","Back To You (Original Mix)","Magic Island Records","April 24, 2008",349
6,"Ronald van Gelderen","Embrace Me (Original Mix)","High Contrast Recordings","April 24, 2008",349
7,"Bartlett Bros. feat. Marcia Juell","Let It Flow (Gareth Emery Remix)","Lunatique Records","April 24, 2008",349
8,"Adam Nickey","Shift (Original Mix)","Anjunabeats","April 24, 2008",349
9,"Andy Hunter","Stars (Giuseppe Ottaviani’s Dub Mix)","Nettwerk","April 24, 2008",349
10,"Alex M.O.R.P.H.","Walk The Edge (Alex M.O.R.P.H. b2b with Woody van Eyden Remix)","High Contrast Recordings","April 24, 2008",349
11,"Polymental","Chapter One (Mark Sherry’s Outburst Remix)","Cloud 9 Dance","April 24, 2008",349
12,"DJ Eco","Tonight Is Forever (Martin Roth Edit)","Armada Music","April 24, 2008",349
13,"Jon O’Bir","Ways & Means (Paul van Dyk Remix)","Vandit Records","April 24, 2008",349
14,"Sophie Sugar","Redemption (Sebastian Brandt Remix)","Armada Music","April 24, 2008",349
15,"Orjan Nilsen","La Guitarra (Orjan Nilsen’s Balaeric Mix)","Armind","April 24, 2008",349
16,"Timbaland feat. One Republic","Apologize (Sander van Doorn’s Bootleg Mix)","No Label","April 24, 2008",349
17,"Kamil Polner","Earth Protector (7 Skies & Static Blue Remix)","Alter Ego Pure","April 24, 2008",349
18,"Alexander Popov feat. Syntigma","Atlantida (Original Mix)","Eternity Recordings","April 24, 2008",349
19,"Midway","Monkey Forest (Jonas Stenberg Edit)","405 Recordings","April 24, 2008",349
20,"ASOT Radio Classic: L.S.G.","The Hidden Sun Of Venus (Original Mix)","Superstition","April 24, 2008",349
1,"Sunlounger","Sunny Tales (Original Mix)","Armada Music","May 01, 2008",350
2,"Sunlounger feat. Zara","Crawling (DJ Shah Rework)","Soundpiercing","May 01, 2008",350
3,"Ascension","For A Lifetime (DJ Shah Remix)","Armada Digital","May 01, 2008",350
4,"Black Pearl","Coral Sea (Original Mix)","Shah Music","May 01, 2008",350
5,"DJ Shah feat. Adrina Thorpe","Who Will Find Me (Original Summer Sunrise Mix)","ASOT","May 01, 2008",350
6,"DJ Shah feat. Adrina Thorpe","Back To You (Club Mix)","ASOT","May 01, 2008",350
7,"Armin van Buuren & DJ Shah feat. Chris Jones","Going Wrong (DJ Shah’s Magic Island Remix)","Armind","May 01, 2008",350
8,"Motorcycle","As The Rush Comes (Gabriel & Dresden’s Sweeping Strings Remix)","Positiva","May 01, 2008",350
9,"Delerium feat. Sarah McLachlan","Silence (Niels van Gogh vs. Thomas Gold Remix)","Nettwerk","May 01, 2008",350
10,"Eddie Sender","Maya (Electroriginal Mix)","Bonzai Trance Progressive","May 01, 2008",350
11,"Andrew Bennett pres. Memento","No Escape (Original Mix)","Supra Spin","May 01, 2008",350
12,"Blank & Jones feat. Bernard Sumner","Miracle Cure (Martin Roth’s Nu Style Dub Mix)","Soundcolours","May 01, 2008",350
13,"David & Carr","Cypress (Sequentia’s Late At Night Remix)","MPFS White","May 01, 2008",350
14,"Fast Distance","Heavens Melody (Original Mix)","Inov8 Recordings","May 01, 2008",350
15,"Absolute","Dolphins Cry (Original Mix)","ASOT","May 01, 2008",350
16,"Luminary","Amsterdam (Super8 & Tab Remix)","Anjunabeats","May 01, 2008",350
17,"Paul Miller","Call Me Miller (Original Mix)","Discover","May 01, 2008",350
18,"Push","Trance Indicator (Original Mix)","Armada Music","May 01, 2008",350
19,"Mike Saint","Jules","n/a","May 01, 2008",350
20,"Ronski Speed feat. Aruna","All The Way (Original Mix)","Euphonic","May 01, 2008",350
21,"Joint Operations Centre","New Jersey (Original Mix)","Captivating Sounds","May 01, 2008",350
22,"Mr. Sam vs. Human Resource","Dominator (Original Mix)","Blackhole Recordings","May 01, 2008",350
23,"Greg Downey","King Dong (Original Mix)","Discover Dark","May 01, 2008",350
24,"Sean Tyas vs. Simon Patterson","Something’s Up (Original Mix)","Reset Records","May 01, 2008",350
25,"Veracocha","Carte Blanche (Cosmic Gate Remix)","Combined Forces","May 01, 2008",350
26,"Thomas Bronzwaer","Titan (Original Mix)","ASOT","May 01, 2008",350
27,"Inertia","The System (Original Mix)","Discover","May 01, 2008",350
28,"Sia","The Girl You Lost To Cocaine (Joint Operation Centre Remix)","Armada Music","May 01, 2008",350
29,"Giuseppe Ottaviani & John O’Callaghan","Our Dimension (Original Mix)","Vandit Records","May 01, 2008",350
30,"Alex M.O.R.P.H. & Woody van Eyden feat. Michelle Citrin","Turn It On (Sean Tyas Remix)","Vandit Records","May 01, 2008",350
31,"Joint Operations Centre","Jetlag Dancer","Captivating Sounds","May 01, 2008",350
32,"Tarja Turunen","The Reign (Aly & Fila Remix / Intro Edit)","Universal","May 01, 2008",350
33,"Armin van Buuren feat. Susana","If You Should Go (Aly & Fila’s Dub Mix)","Armind","May 01, 2008",350
34,"Dreas","Signs (Akesson Remix)","Red Force","May 01, 2008",350
35,"Re:Locate feat. Menno de Jong","Spirit (Paul Miller’s 2008 Rework)","Intuition Recordings","May 01, 2008",350
36,"Akesson","Perfect Blue (Original Mix)","Offshore","May 01, 2008",350
37,"Aly & Fila","Lost Language (Original Mix)","Soundpiercing","May 01, 2008",350
38,"Robert Nickson","Never Again (Nitrous Oxide Remix)","ASOT","May 01, 2008",350
39,"Aly & Fila","Key Of Life (Original Mix)","Offshore","May 01, 2008",350
40,"Philippe El Sisi","Never After (Original Mix)","Offshore","May 01, 2008",350
41,"Rapid Eye","Circa Forever (Aly & Fila Remix)","ATCR","May 01, 2008",350
42,"Aly & Fila","Dynasty (Original Mix)","Soundpiercing","May 01, 2008",350
43,"DJ Shog","Feel Me (Duderstadt’s Uplifting Intro vs. Inpetto’s Vocal Remix)","In","May 01, 2008",350
44,"Gianluca Motta feat. Molly","Not Alone (Deadmau5 vs. Tiger Stripes Remix)","Nettwerk","May 01, 2008",350
45,"Repubikka","Sunshine (Visionaire Remix)","No Label","May 01, 2008",350
46,"Heatbeat","Nebula (Original Mix)","High Contrast","May 01, 2008",350
47,"OceanLab","Sirens Of The Sea (Cosmic Gate’s Vocal Mix)","Anjunabeats","May 01, 2008",350
48,"Markus Schulz feat. Departure","Cause You Know (Nic Chagall Remix)","Coldharbour Recordings","May 01, 2008",350
49,"Nic Chagall","What You Need (Marco V. Remix)","High Contrast Recordings","May 01, 2008",350
50,"Cosmic Gate feat. Denise Rivera","Body Of Conflict (Original Mix)","Blackhole Recordings","May 01, 2008",350
51,"Vincent de Moor","Fly Away (Cosmic Gate Remix)","Combined Forces","May 01, 2008",350
52,"Orjan Nilsen","La Guitarra (Original Intro Edit)","Armind","May 01, 2008",350
53,"Saltwater","The Legacy (Inpetto Remix)","No Label","May 01, 2008",350
54,"Mungo","Under The Sea (Original Mix)","Armada Music","May 01, 2008",350
55,"DJ Orkidea feat. David West","God’s Garden (Original Mix)","AVA Recordings","May 01, 2008",350
56,"Armin van Buuren feat. Jennifer Rene","Fine Without You (Sied van Riel Remix)","Armind","May 01, 2008",350
57,"Armin van Buuren","Face To Face (Original Mix)","Armada Music","May 01, 2008",350
58,"Alex M.O.R.P.H.","Walk The Edge (Alex M.O.R.P.H. b2b with Woody van Eyden Remix)","High Contrast Recordings","May 01, 2008",350
59,"Dan Stone","7 Hours (Mark Pledger Remix)","No Label","May 01, 2008",350
60,"Rank 1 vs. Jochen Miller","9 Minutes (Original Mix)","HIgh Contrast Recordings","May 01, 2008",350
61,"Armin van Buuren","Imagine (Original Mix)","Armada Music","May 01, 2008",350
62,"Vengeance","Temptation (Denga & Manus Remix)","ASOT","May 01, 2008",350
63,"M6","Fade To Black (Original Mix)","Captivating Sounds","May 01, 2008",350
64,"Andy Blueman","Time To Rest (Daniel Kandi’s Bangin Remix)","Perceptive","May 01, 2008",350
65,"Polymental","Chapter One (Mark Sherry Remix)","FlutterSpark","May 01, 2008",350
66,"DJ Eco","Tonight Is Forever (Martin Roth Edit)","Lunatique","May 01, 2008",350
67,"Binary Finary","1998 (Binary’s Finality Mix)","Positiva","May 01, 2008",350
68,"Erik De Koning","Dream Flight (Mike Nichol Remix)","ASOT","May 01, 2008",350
69,"Armin van Buuren feat. Sharon den Adel","In And Out Of Love (Richard Durand Remix)","Armind","May 01, 2008",350
70,"ASOT Radio Classic: Signum","The Timelord (Original Mix)","ASOT","May 01, 2008",350
71,"Push","Universal Nation (Original Mix)","Bonzai","May 01, 2008",350
72,"MC Stretch","Intro (Markus Schulz Mix)","No Label","May 01, 2008",350
73,"Three Drives","Letting You Go / Greece 2000 (Markus Schulz Big Room Remix Edit)","Armada Music","May 01, 2008",350
74,"Sequentia pres. Sunshade","Vertigo (Mike Koglin Remix)","Conspiracy Recordings","May 01, 2008",350
75,"Markus Schulz feat. Andy Moor","Daydream (Ronski Speed Remix)","Coldharbour Recordings","May 01, 2008",350
76,"Elevation","Biscayne (Original Mix)","Coldharbour Recordings","May 01, 2008",350
77,"Markus Schulz","The New World (Original Mix)","Coldharbour Recordings","May 01, 2008",350
78,"Cressida","6AM (Kyau & Albert Remix","n/a","May 01, 2008",350
79,"Element One vs. Way Out West","Guanacaste vs. Mindcircus (Markus Schulz Mash","n/a","May 01, 2008",350
80,"Blank & Jones feat. Bernard Sumner","Miracle Cure (Martin Roth’s Nu Style Dub Mix)","Soundcolours","May 01, 2008",350
81,"Markus Schulz feat. Dauby","Perfect (Agneli & Nelson Remix)","Coldharbour Recordings","May 01, 2008",350
82,"Gareth Emery","This Is That (Markus Schulz Rework)","No Label","May 01, 2008",350
1,"Andy Moor","Fake Awake (Original Mix)","AVA Recordings","May 08, 2008",351
2,"Jonas Steur feat. Jennifer Rene","Pure Bliss (Born For The Summer Remix)","No Label","May 08, 2008",351
3,"Jay Lumen","Calypso (Original Mix)","Anjunadeep","May 08, 2008",351
4,"Chicane feat. Natasha Bedingfield","Bruised Water (Mischa Daniels’s Dub Mix)","Modena Records","May 08, 2008",351
5,"Orjan Nilsen","La Guitarra (Omnia Remix)","Armind","May 08, 2008",351
6,"Funabashi pres. Saltwater","The Legacy 2.0 (Alex M.O.R.P.H.’s Big Drop)","Ovations","May 08, 2008",351
7,"Syndica","Modes (Original Mix)","Fraction Recordings","May 08, 2008",351
8,"Mike Foyle","Pandora (The Blizzard Remix)","Armind","May 08, 2008",351
9,"El Cortez","Desert Rose (Original Mix)","Intuition Recordings","May 08, 2008",351
10,"Future Favorite: DJ Shah feat. Adrina Thorpe","Back To You (Original Mix)","ASOT","May 08, 2008",351
11,"Dan Stone","7 Hours (Mark Pledger Remix)","Noys","May 08, 2008",351
12,"Tune Of The Week: Arnej","The Ones That Get Away (Original Mix)","Armada Music","May 08, 2008",351
13,"M6","Visionary (Original Mix)","ITWT","May 08, 2008",351
14,"Dazzle","Chaos Theory (Original Mix)","Armada Music","May 08, 2008",351
15,"Mike Wind","Sunday After Monday (Original Mix)","Eve Recordings","May 08, 2008",351
16,"Andy Hunter","Stars (Giuseppe Ottaviani’s Dub Mix)","Nettwerk","May 08, 2008",351
17,"Orjan Nilsen","Scrubs (Original Mix)","Armada Music","May 08, 2008",351
18,"Anjunabeats","Volume One (7 Skies & Static Blue Remix)","Anjunabeats","May 08, 2008",351
19,"DJ Eco","Tonight Is Forever (Martin Roth Edit)","Lunatique","May 08, 2008",351
20,"Sander van Doorn","Pura Vida (Evol Waves Remix)","Spinnin' Records","May 08, 2008",351
21,"ASOT Radio Classic: Firewall","Sincere (Original Mix)","ASOT","May 08, 2008",351
1,"Marcus Schossow","Kiev (Original Mix)","Spinnin' Records","May 15, 2008",352
2,"Kaskade & Deadmau5","Move For Me (Original Mix)","Ultra Records","May 15, 2008",352
3,"Future Favorite: Funabashi pres. Saltwater","The Legacy 2.0 (Alex M.O.R.P.H.’s Big Drop)","Ovations","May 15, 2008",352
4,"Mango","Friday Coffee (Paul Keeley Remix)","Add2basket Recordings","May 15, 2008",352
